"Core","Vertex count","Edge count","Density","Component count","Giant component vertex percentage","Giant component edge percentage","Giant component small world coefficient","Giant component diameter","Average clustering coefficient"
"0","105.0","441.0","0.08076923076923077","1.0","100.0","100.0","1.5393772893772895","7.0","0.4875267912317313"
"1","105.0","441.0","0.08076923076923077","1.0","100.0","100.0","1.5393772893772895","7.0","0.4875267912317313"
"2","103.0","437.0","0.08319055777650866","1.0","100.0","100.0","1.5224633542737482","7.0","0.49019721436244457"
"3","98.0","422.0","0.08878602987586787","1.0","100.0","100.0","1.517252261729434","7.0","0.4866042541403235"
"4","65.0","300.0","0.14423076923076922","1.0","100.0","100.0","1.4728365384615385","7.0","0.5292024334115619"
"5","40.0","182.0","0.23333333333333334","2.0","57.5","57.5","0.8043478260869565","3.0","0.621644132011779"
"6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
