Node ID;Shell index;Betweenness centrality
206;10.00;0.00
207;10.00;0.04
208;6.00;0.00
209;10.00;0.01
210;10.00;0.00
211;8.00;0.00
212;7.00;0.00
213;10.00;0.02
214;10.00;0.01
215;10.00;0.00
216;10.00;0.01
217;9.00;0.00
218;10.00;0.02
219;10.00;0.01
220;8.00;0.00
221;9.00;0.00
222;3.00;0.00
223;3.00;0.00
224;10.00;0.01
225;10.00;0.01
226;11.00;0.02
227;9.00;0.00
228;8.00;0.00
229;7.00;0.00
230;8.00;0.00
231;10.00;0.00
232;10.00;0.00
233;10.00;0.01
234;9.00;0.00
235;5.00;0.00
236;7.00;0.00
237;7.00;0.00
238;9.00;0.00
239;9.00;0.00
240;6.00;0.00
241;8.00;0.00
242;1.00;0.00
243;1.00;0.00
244;9.00;0.00
245;10.00;0.01
246;7.00;0.00
247;5.00;0.00
248;5.00;0.00
249;7.00;0.00
250;5.00;0.00
251;2.00;0.00
252;6.00;0.00
253;8.00;0.01
254;6.00;0.00
255;8.00;0.00
256;8.00;0.00
257;8.00;0.00
258;6.00;0.00
259;6.00;0.00
260;1.00;0.00
261;6.00;0.00
262;4.00;0.00
263;5.00;0.00
264;4.00;0.00
265;5.00;0.00
266;4.00;0.00
267;5.00;0.00
268;7.00;0.00
269;9.00;0.00
270;4.00;0.00
271;7.00;0.00
272;5.00;0.00
273;7.00;0.00
274;4.00;0.00
275;9.00;0.00
276;7.00;0.00
277;7.00;0.00
278;7.00;0.00
279;4.00;0.00
280;3.00;0.00
281;2.00;0.00
282;6.00;0.00
283;7.00;0.00
284;9.00;0.01
285;1.00;0.00
286;1.00;0.00
287;1.00;0.00
288;1.00;0.00
289;1.00;0.00
290;1.00;0.00
291;1.00;0.00
292;1.00;0.00
293;1.00;0.00
294;1.00;0.00
295;1.00;0.00
296;1.00;0.00
0;8.00;0.97
1;8.00;0.48
2;8.00;0.33
3;8.00;0.66
4;8.00;0.25
5;8.00;0.25
6;8.00;0.55
7;8.00;0.38
8;8.00;0.07
9;8.00;0.29
10;8.00;0.13
11;8.00;0.28
12;8.00;0.23
13;8.00;0.47
14;8.00;0.13
15;8.00;0.59
16;8.00;0.63
17;8.00;0.45
18;8.00;0.18
19;8.00;0.22
20;8.00;0.66
21;8.00;0.63
22;8.00;0.12
23;8.00;0.15
24;8.00;0.58
25;8.00;0.48
26;8.00;0.46
27;8.00;0.25
28;8.00;0.50
29;8.00;0.20
30;8.00;0.40
31;8.00;0.18
32;8.00;0.39
33;8.00;0.14
34;8.00;0.16
35;8.00;0.41
36;8.00;0.33
37;8.00;0.20
38;8.00;0.73
39;8.00;0.25
40;8.00;0.36
41;8.00;0.11
42;7.00;0.16
43;8.00;0.35
44;8.00;0.37
45;8.00;0.28
46;9.00;0.24
47;8.00;0.40
48;8.00;0.48
49;9.00;0.22
50;8.00;0.37
51;8.00;0.39
52;8.00;0.22
53;8.00;0.44
54;8.00;0.03
55;8.00;0.29
56;8.00;0.21
57;8.00;0.24
58;8.00;0.85
59;8.00;0.26
60;8.00;0.40
61;8.00;0.58
62;8.00;0.37
63;8.00;0.50
64;8.00;0.57
65;8.00;0.23
66;8.00;0.25
67;9.00;0.29
68;8.00;0.25
69;8.00;0.69
70;8.00;0.40
71;8.00;0.31
72;8.00;0.44
73;9.00;0.17
74;8.00;0.23
75;8.00;0.28
76;8.00;0.10
