Node ID;Shell index;Closeness centrality
206;10.00;0.37
207;10.00;0.62
208;6.00;0.13
209;10.00;0.52
210;10.00;0.50
211;8.00;0.35
212;7.00;0.34
213;10.00;0.47
214;10.00;0.51
215;10.00;0.35
216;10.00;0.40
217;9.00;0.28
218;10.00;0.43
219;10.00;0.45
220;8.00;0.33
221;9.00;0.39
222;3.00;0.13
223;3.00;0.13
224;10.00;0.48
225;10.00;0.43
226;11.00;0.50
227;9.00;0.36
228;8.00;0.32
229;7.00;0.21
230;8.00;0.33
231;10.00;0.38
232;10.00;0.45
233;10.00;0.42
234;9.00;0.34
235;5.00;0.21
236;7.00;0.22
237;7.00;0.33
238;9.00;0.43
239;9.00;0.36
240;6.00;0.27
241;8.00;0.40
242;1.00;0.01
243;1.00;0.01
244;9.00;0.45
245;10.00;0.46
246;7.00;0.34
247;5.00;0.29
248;5.00;0.29
249;7.00;0.32
250;5.00;0.38
251;2.00;0.27
252;6.00;0.20
253;8.00;0.44
254;6.00;0.42
255;8.00;0.32
256;8.00;0.34
257;8.00;0.33
258;6.00;0.31
259;6.00;0.26
260;1.00;0.11
261;6.00;0.35
262;4.00;0.38
263;5.00;0.38
264;4.00;0.38
265;5.00;0.38
266;4.00;0.38
267;5.00;0.38
268;7.00;0.33
269;9.00;0.34
270;4.00;0.30
271;7.00;0.33
272;5.00;0.31
273;7.00;0.32
274;4.00;0.28
275;9.00;0.34
276;7.00;0.34
277;7.00;0.33
278;7.00;0.28
279;4.00;0.29
280;3.00;0.27
281;2.00;0.27
282;6.00;0.35
283;7.00;0.40
284;9.00;0.42
285;1.00;0.27
286;1.00;0.27
287;1.00;0.27
288;1.00;0.27
289;1.00;0.27
290;1.00;0.27
291;1.00;0.27
292;1.00;0.27
293;1.00;0.27
294;1.00;0.27
295;1.00;0.01
296;1.00;0.01
0;8.00;0.84
1;8.00;0.71
2;8.00;0.64
3;8.00;0.81
4;8.00;0.59
5;8.00;0.36
6;8.00;0.86
7;8.00;0.57
8;8.00;0.08
9;8.00;0.52
10;8.00;0.33
11;8.00;0.59
12;8.00;0.44
13;8.00;0.81
14;8.00;0.38
15;8.00;0.84
16;8.00;0.84
17;8.00;0.70
18;8.00;0.31
19;8.00;0.44
20;8.00;0.59
21;8.00;0.52
22;8.00;0.17
23;8.00;0.38
24;8.00;0.84
25;8.00;0.71
26;8.00;0.54
27;8.00;0.34
28;8.00;0.66
29;8.00;0.56
30;8.00;0.68
31;8.00;0.30
32;8.00;0.68
33;8.00;0.41
34;8.00;0.27
35;8.00;0.52
36;8.00;0.57
37;8.00;0.49
38;8.00;0.61
39;8.00;0.64
40;8.00;0.54
41;8.00;0.51
42;7.00;0.19
43;8.00;0.51
44;8.00;0.56
45;8.00;0.52
46;9.00;0.47
47;8.00;0.62
48;8.00;0.68
49;9.00;0.61
50;8.00;0.54
51;8.00;0.49
52;8.00;0.52
53;8.00;0.70
54;8.00;0.24
55;8.00;0.47
56;8.00;0.33
57;8.00;0.52
58;8.00;1.00
59;8.00;0.52
60;8.00;0.70
61;8.00;0.61
62;8.00;0.46
63;8.00;0.79
64;8.00;0.77
65;8.00;0.51
66;8.00;0.57
67;9.00;0.57
68;8.00;0.46
69;8.00;0.82
70;8.00;0.61
71;8.00;0.46
72;8.00;0.68
73;9.00;0.38
74;8.00;0.56
75;8.00;0.52
76;8.00;0.30
77;8.00;0.46
78;8.00;0.15
79;8.00;0.46
80;8.00;0.98
81;8.00;0.62
82;8.00;0.82
83;9.00;0.49
84;8.00;0.38
85;8.00;0.47
86;8.00;0.68
87;8.00;0.66
88;8.00;0.92
89;8.00;0.61
90;8.00;0.46
91;8.00;0.75
92;8.00;0.84
93;8.00;0.66
94;8.00;0.46
95;8.00;0.38
96;8.00;0.27
97;8.00;0.51
98;8.00;0.41
99;8.00;0.27
100;8.00;0.59
101;8.00;0.61
102;8.00;0.57
103;8.00;0.44
104;8.00;0.82
105;8.00;0.39
106;8.00;0.88
107;8.00;0.54
108;8.00;0.00
109;8.00;0.46
110;8.00;0.71
111;8.00;0.34
112;8.00;0.51
113;8.00;0.28
114;8.00;0.71
Spearmans correlation;0.01
